Hierarchy,Id,Term,StatedDefChange,InferredDefChange,Primitive2SD,SD2Primitive,DescriptionChange,FSNChange
Body structure (body structure),52926007,Structure of carpal articular surface of radius (body structure),0,1,0,0,0,0
Body structure (body structure),53520000,Autonomic nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),56052001,Facial nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),56099008,Structure of oculomotor nerve ramus communicans with nasociliary nerve (body structure),0,1,0,0,0,0
Body structure (body structure),56193007,Oculomotor nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),56725004,Structure of vertebral plexus (body structure),0,1,0,0,0,0
Body structure (body structure),57516003,Inferior oblique muscle structure (body structure),0,1,0,0,0,0
Body structure (body structure),59112000,Skin structure of anus (body structure),1,1,0,0,0,0
Body structure (body structure),59155001,Structure of sacral splanchnic nerves (body structure),0,1,0,0,0,0
Body structure (body structure),59237002,Structure of oculomotor nerve rectus medialis branch (body structure),0,1,0,0,0,0
Body structure (body structure),60718004,Dysgerminoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),63492004,Structure of vertebral ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),64688005,Bone structure of coccyx (body structure),1,1,0,0,0,0
Body structure (body structure),65098007,Structure of lumbosacral vertebrae (body structure),1,1,0,0,0,0
Body structure (body structure),66041005,Superior oblique muscle structure (body structure),0,1,0,0,0,0
Body structure (body structure),66355007,Optic nerve sheath structure (body structure),1,1,0,0,0,0
Body structure (body structure),70227003,Structure of pharyngeal branch of cervical sympathetic nervous system (body structure),0,1,0,0,0,0
Body structure (body structure),71834002,Long ciliary nerves (body structure),0,1,0,0,0,0
Body structure (body structure),72907003,Seminoma, anaplastic (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),73800007,Structure of appendix epiploica (body structure),1,1,0,0,1,0
Body structure (body structure),74409009,Endodermal sinus tumor (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),75129005,Bone structure of distal radius (body structure),1,1,0,0,0,0
Body structure (body structure),76884008,Structure of carotid plexus branch of cervical sympathetic nervous system (body structure),0,1,0,0,0,0
Body structure (body structure),77120005,Structure of lumbosacral joint (body structure),1,1,0,0,0,0
Body structure (body structure),77172000,Structure of depressor labii inferioris muscle (body structure),1,1,0,0,0,0
Body structure (body structure),77804002,Structure of thoracic portion of sympathetic nervous system (body structure),0,1,0,0,0,0
Body structure (body structure),80622005,Abducens nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),84959000,Structure of superior cervical ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),86117002,Internal carotid artery structure (body structure),1,1,0,0,0,0
Body structure (body structure),87749000,Mucous inflammation (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),88634001,Structure of middle cardiac nerve (body structure),0,1,0,0,0,0
Body structure (body structure),88759001,Structure of inferior cervical ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),88882009,Vagus nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),90568000,Skin of suboccipital region (body structure),0,1,0,0,0,0
Body structure (body structure),90916002,Structure of supratrochlear nerve (body structure),0,1,0,0,0,0
Body structure (body structure),91690000,Entire subdivision of organ system (body structure),1,1,0,0,0,0
Body structure (body structure),102292000,Skeletal muscle structure of lower limb (body structure),1,1,0,0,0,0
Body structure (body structure),103635003,Atypical cells of undetermined significance (morphologic abnormality),0,0,0,0,1,0
Body structure (body structure),113313006,Structure of cochlear nerve (body structure),0,1,0,0,0,0
Body structure (body structure),118497009,Structure of intrinsic muscle of hand (body structure),0,0,0,0,1,1
Body structure (body structure),123151001,Dermoid cyst (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),128181006,Entire genital organ (body structure),1,1,0,0,0,0
Body structure (body structure),128546004,Structure of perforating vein of lower extremity (body structure),0,0,0,0,1,1
Body structure (body structure),128766005,Germ cell tumor, nonseminomatous (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),128902002,Intratubular malignant germ cells (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),169801000,Entire sternocleidomastoid region of neck (body structure),1,1,0,0,0,0
Body structure (body structure),169900000,Entire scalene region of neck (body structure),1,1,0,0,0,0
Body structure (body structure),181143004,Entire orbital region (body structure),1,1,0,0,0,0
Body structure (body structure),181155005,Entire superior oblique (body structure),1,1,0,0,0,0
Body structure (body structure),181156006,Entire inferior oblique (body structure),1,1,0,0,0,0
Body structure (body structure),181211006,Entire pharynx (body structure),1,1,0,0,0,0
Body structure (body structure),181212004,Entire larynx (body structure),1,1,0,0,0,0
Body structure (body structure),181213009,Entire trachea (body structure),1,1,0,0,0,0
Body structure (body structure),181216001,Entire lung (body structure),1,1,0,0,0,0
Body structure (body structure),181414000,Entire kidney (body structure),1,1,0,0,0,0
Body structure (body structure),181486008,Entire occipital region of scalp (body structure),0,0,0,0,1,0
Body structure (body structure),181650004,Entire palmaris brevis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),181651000,Entire abductor digiti minimi muscle of hand (body structure),1,1,0,0,0,0
Body structure (body structure),181652007,Entire opponens digiti minimi (body structure),1,1,0,0,0,0
Body structure (body structure),181653002,Entire flexor digiti minimi (body structure),1,1,0,0,0,0
Body structure (body structure),181728005,Entire dorsal interosseous muscle of foot (body structure),1,1,0,0,0,0
Body structure (body structure),181729002,Entire plantar interosseous muscle of foot (body structure),1,1,0,0,0,0
Body structure (body structure),181742002,Entire scalenus anterior muscle (body structure),1,1,0,0,0,0
Body structure (body structure),181994007,Shaft of proximal phalanx of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),182009009,Shaft of distal phalanx of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),182132005,Neck of second metatarsal (body structure),1,1,0,0,0,0
Body structure (body structure),182137004,Neck of third metatarsal (body structure),1,1,0,0,0,0
Body structure (body structure),182142007,Neck of fourth metatarsal (body structure),1,1,0,0,0,0
Body structure (body structure),182147001,Neck of fifth metatarsal (body structure),1,1,0,0,0,0
Body structure (body structure),244514004,Entire cervical intervertebral syndesmosis (body structure),1,1,0,0,1,1
Body structure (body structure),244722008,Entire epicranial muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244730009,Entire muscle of nose (body structure),1,1,0,0,0,0
Body structure (body structure),244744003,Entire mentalis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244746001,Entire depressor labii inferioris muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244747005,Entire buccinator muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244749008,Entire orbicularis oris (body structure),1,1,0,0,0,0
Body structure (body structure),244750008,Entire Incisivus labii muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244754004,Entire platysma muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244755003,Entire risorius muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244769003,Entire muscle of mastication (body structure),0,0,0,0,1,1
Body structure (body structure),244782006,Entire extrinsic muscle of tongue (body structure),1,1,0,0,0,0
Body structure (body structure),244788005,Entire intrinsic lingual muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244836009,Entire longus colli (body structure),1,1,0,0,0,0
Body structure (body structure),244837000,Entire longus capitis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244838005,Entire anterior rectus capitis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244844009,Entire scalenus medius muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244845005,Entire scalenus posterior muscle (body structure),1,1,0,0,0,0
Body structure (body structure),244846006,Posterior vertebral muscle of neck (body structure),1,1,0,0,0,0
Body structure (body structure),244995005,Entire extensor pollicis brevis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),245841005,Mucosa of hard palate (body structure),1,1,0,0,0,0
Body structure (body structure),264468000,Structure of fascial compartment of neck (body structure),1,1,0,0,1,1
Body structure (body structure),272611009,Surface region of neck (body structure),1,1,0,0,0,0
Body structure (body structure),278361003,Gland of Wolfring and Ciacco (body structure),1,1,0,0,0,0
Body structure (body structure),278362005,Gland of Henle (body structure),1,1,0,0,0,0
Body structure (body structure),278915007,Coccygeal spine (body structure),1,1,0,0,0,0
Body structure (body structure),279744007,Structure of tibial tubercle bone marrow (body structure),1,1,0,0,0,0
Body structure (body structure),280014002,Structure of distal ulnar epiphysis (body structure),1,1,0,0,0,0
Body structure (body structure),280205004,Entire superior branch of oculomotor nerve (body structure),0,1,0,0,0,0
Body structure (body structure),280273005,Nerve of the pterygoid canal (body structure),0,1,0,0,0,0
Body structure (body structure),280298006,Pharyngeal branch of vagus (body structure),0,1,0,0,0,0
Body structure (body structure),280510001,Thoracic plexus (body structure),0,1,0,0,0,0
Body structure (body structure),297220005,Iliac crest marrow structure (body structure),1,1,0,0,0,0
Body structure (body structure),302511008,Entire ureter (body structure),1,1,0,0,0,0
Body structure (body structure),302512001,Entire urinary bladder (body structure),1,1,0,0,1,1
Body structure (body structure),302513006,Entire urethra (body structure),1,1,0,0,0,0
Body structure (body structure),302516003,Entire intervertebral syndesmosis of C2 and C3 (body structure),0,0,0,0,1,1
Body structure (body structure),302519005,Entire distal end of radius (body structure),0,1,0,0,0,0
Body structure (body structure),302743005,Entire common tendon sheath of peroneal muscle (body structure),1,1,0,0,0,0
Body structure (body structure),303750003,Flexor of carpometacarpal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303753001,Abductor of carpometacarpal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303754007,Adductor of carpometacarpal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303755008,Opposer of carpometacarpal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303756009,Muscle acting on metacarpophalangeal joint (body structure),1,1,0,0,0,0
Body structure (body structure),303762004,Muscle acting on metacarpophalangeal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303764003,Extensor of metacarpophalangeal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303768000,Extensor of metacarpophalangeal joint of finger (body structure),1,1,0,0,0,0
Body structure (body structure),303784004,Muscle acting on interphalangeal joint of hand (body structure),1,1,0,0,0,0
Body structure (body structure),303794009,Extensor of interphalangeal joint of finger (body structure),1,1,0,0,0,0
Body structure (body structure),303800000,Flexor of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303801001,Extensor of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303802008,Abductor of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303803003,Adductor of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303804009,Internal rotator of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303805005,External rotator of hip joint (body structure),1,1,0,0,0,0
Body structure (body structure),303816003,Flexor of knee joint (body structure),1,1,0,0,0,0
Body structure (body structure),303817007,Extensor of knee joint (body structure),1,1,0,0,0,0
Body structure (body structure),303823002,Plantar flexor of ankle joint (body structure),1,1,0,0,0,0
Body structure (body structure),303824008,Dorsiflexor of ankle joint (body structure),1,1,0,0,0,0
Body structure (body structure),303830008,Muscle acting on intertarsal joint (body structure),1,1,0,0,0,0
Body structure (body structure),303834004,Muscle acting on interphalangeal joint of foot (body structure),1,1,0,0,0,0
Body structure (body structure),303838001,Plantar flexor of metatarsophalangeal joint (body structure),1,1,0,0,0,0
Body structure (body structure),303839009,Dorsiflexor of metatarsophalangeal joint (body structure),1,1,0,0,1,1
Body structure (body structure),303842003,Adductor of metatarsophalangeal joint (body structure),1,1,0,0,0,0
Body structure (body structure),303851006,Muscle acting on joint of finger (body structure),1,1,0,0,0,0
Body structure (body structure),303853009,Muscle acting on interphalangeal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303855002,Extensor of interphalangeal joint of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),303902009,Muscle acting on atlantoaxial joint (body structure),1,1,0,0,0,0
Body structure (body structure),304010000,Muscle acting on thoracic intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304012008,Flexor of cervical intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304013003,Extensor of cervical intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304014009,Lateral flexor of cervical intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304015005,Rotator of cervical intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304021009,Flexor of lumbar intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304023007,Extensor of lumbar intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304024001,Lateral flexor of lumbar intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304025000,Rotator of lumbar intervertebral joint (body structure),1,1,0,0,0,0
Body structure (body structure),304592003,Bone structure of distal end of radius and/or ulna (body structure),0,0,0,0,1,1
Body structure (body structure),305039005,Peroneus brevis tendon sheath (body structure),1,1,0,0,0,0
Body structure (body structure),305040007,Peroneus tertius tendon sheath (body structure),1,1,0,0,0,0
Body structure (body structure),307708004,Structure of oblique extraocular muscle (body structure),1,1,0,0,1,1
Body structure (body structure),313227001,Iliac bone marrow structure (body structure),1,1,0,0,0,0
Body structure (body structure),361384001,Entire tracheobronchial tree (body structure),1,1,0,0,0,0
Body structure (body structure),361812000,Entire depressor anguli oris muscle (body structure),1,1,0,0,0,0
Body structure (body structure),361820003,Entire extensor pollicis longus muscle (body structure),1,1,0,0,0,0
Body structure (body structure),361923002,Entire respiratory region of nose (body structure),1,1,0,0,0,0
Body structure (body structure),362884007,Gland structure (body structure),1,1,0,0,0,0
Body structure (body structure),368374007,Structure of extensor tendon of thumb (body structure),1,1,0,0,0,0
Body structure (body structure),368381000,Structure of extensor tendon of finger (body structure),1,1,0,0,0,0
Body structure (body structure),399523002,Regressed germ cell tumor (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),399536002,Right posterior iliac crest marrow structure (body structure),0,1,0,0,0,0
Body structure (body structure),399560003,Diffuse embryoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),399682004,Left posterior iliac crest marrow structure (body structure),0,1,0,0,0,0
Body structure (body structure),410733006,Structure of intervertebral syndesmosis of C2 and C3 (body structure),1,1,0,0,1,1
Body structure (body structure),416062005,Malignant teratoma - category (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),416294005,Accessory lacrimal gland duct (body structure),1,1,0,0,0,0
Body structure (body structure),420696005,Structure of bone marrow of innominate bone (body structure),1,1,0,0,1,0
Body structure (body structure),420902003,Structure of bone marrow of femur (body structure),1,1,0,0,0,0
Body structure (body structure),421320006,Structure of bone marrow of bone organ (body structure),0,0,0,0,1,1
Body structure (body structure),422111009,Structure of bone marrow of tibia (body structure),1,1,0,0,0,0
Body structure (body structure),424743000,Entire muscle of modiolar muscle group (body structure),1,1,0,0,0,0
Body structure (body structure),425585009,L5/S1 disc (body structure),1,1,0,0,0,0
Body structure (body structure),443677002,Seminoma - category (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),700032006,Structure of occipital region of scalp (body structure),0,0,0,0,1,0
Clinical finding (finding),147001,Superficial foreign body of scrotum without major open wound but with infection (disorder),0,1,0,0,0,0
Clinical finding (finding),175004,Supraorbital neuralgia (disorder),0,1,0,0,0,0
Clinical finding (finding),198007,Disease caused by Filoviridae (disorder),1,1,0,0,1,1
Clinical finding (finding),216004,Delusion of persecution (finding),0,1,0,0,0,0
Clinical finding (finding),219006,Current drinker of alcohol (finding),0,1,0,0,0,0
Clinical finding (finding),228007,Lucio phenomenon (disorder),0,1,0,0,0,0
Clinical finding (finding),253005,Sycosis (disorder),1,1,1,0,0,0
Clinical finding (finding),276008,Poisoning caused by oxytocin (disorder),0,0,0,0,1,1
Clinical finding (finding),310008,Boil of penis (disorder),0,1,0,0,0,0
Clinical finding (finding),313005,Déjà vu (finding),0,1,0,0,0,0
Clinical finding (finding),320003,Cervical dilatation, 1cm (finding),0,1,0,0,0,0
Clinical finding (finding),357009,Closed fracture of trapezoidal bone of wrist (disorder),0,1,0,0,0,0
Clinical finding (finding),358004,Poisoning caused by smallpox vaccine (disorder),0,0,0,0,1,1
Clinical finding (finding),385006,Secondary peripheral neuropathy (disorder),1,1,0,0,0,0
Clinical finding (finding),450005,Ulcerative stomatitis (disorder),0,1,0,0,0,0
Clinical finding (finding),586008,Contact dermatitis caused by primrose (disorder),0,0,0,0,1,1
Clinical finding (finding),602001,Ross river fever (disorder),1,1,0,0,0,0
Clinical finding (finding),634005,Saddle boil (disorder),1,1,0,0,0,0
Clinical finding (finding),640003,Injury of pneumogastric nerve (disorder),0,1,0,0,0,0
Clinical finding (finding),666000,Poisoning caused by antivaricose drug AND/OR sclerosing agent (disorder),0,0,0,0,1,1
Clinical finding (finding),714002,Abrasion and/or friction burn of toe with infection (disorder),1,1,0,0,0,0
Clinical finding (finding),733007,Superficial foreign body of groin without major open wound but with infection (disorder),0,1,0,0,0,0
Clinical finding (finding),750009,Schistosoma mansoni infection (disorder),0,1,0,0,0,0
Clinical finding (finding),786005,Clinical stage I B (finding),0,1,0,0,0,0
Clinical finding (finding),792004,Jakob-Creutzfeldt disease (disorder),0,1,0,0,0,0
Clinical finding (finding),801006,Nonvenomous insect bite of foot with infection (disorder),0,1,0,0,0,0
Clinical finding (finding),805002,Pneumoconiosis caused by silica (disorder),0,0,0,0,1,1
Clinical finding (finding),825003,Superficial injury of axilla with infection (disorder),0,1,0,0,0,0
Clinical finding (finding),827006,Late congenital syphilis, latent (positive serology - cerebrospinal fluid, 2 years OR more) (disorder),0,1,0,0,0,0
Clinical finding (finding),834008,Chair-seated facing coital position (finding),0,1,0,0,0,0
Clinical finding (finding),844005,Behavior finding (finding),1,1,0,0,0,0
Clinical finding (finding),862001,Anemia caused by chlorate (disorder),0,0,0,0,1,1
Clinical finding (finding),919001,Pseudohomosexual state (finding),0,1,0,0,0,0
Clinical finding (finding),998008,Chagas' disease with heart involvement (disorder),0,1,0,0,0,0
Clinical finding (finding),1020003,Disease caused by Nairovirus (disorder),1,1,0,0,1,1
Clinical finding (finding),1059007,Opisthorchiasis (disorder),0,1,0,0,0,0
Clinical finding (finding),1089000,Intrauterine sepsis of fetus (disorder),0,1,0,0,0,0
Clinical finding (finding),1102005,Intraerythrocytic parasitosis caused by Nuttallia (disorder),0,1,0,0,1,1
Clinical finding (finding),1116000,Chronic aggressive type B viral hepatitis (disorder),1,1,0,0,0,0
Clinical finding (finding),1214006,Infection caused by Strongyloides (disorder),1,1,0,0,1,1
Clinical finding (finding),1230003,No diagnosis on Axis I (finding),0,1,0,0,0,0
Clinical finding (finding),1297003,Infection caused by Cladosporium carrionii (disorder),1,1,0,0,1,1
Clinical finding (finding),1323006,Poisoning caused by kanamycin (disorder),0,0,0,0,1,1
Clinical finding (finding),1402001,Fear (finding),0,1,0,0,0,0
Clinical finding (finding),1447000,Icthyoparasitism (disorder),1,1,1,0,0,0
Clinical finding (finding),1469007,Miscarriage with urinary tract infection (disorder),0,1,0,0,0,0
Clinical finding (finding),1475003,Herpes labialis (disorder),0,1,0,0,0,0
Clinical finding (finding),1523005,Clinical stage IV B (finding),0,1,0,0,0,0
Clinical finding (finding),1531000,Poisoning caused by nitrofuran derivatives (disorder),0,0,0,0,1,1
Clinical finding (finding),1532007,Viral pharyngitis (disorder),0,1,0,0,0,0
Clinical finding (finding),1551001,Osteomyelitis of femur (disorder),1,1,0,0,0,0
Clinical finding (finding),1556006,Clark melanoma level 4 (finding),0,1,0,0,0,0
Clinical finding (finding),1606009,Infection caused by Macracanthorhynchus hirudinaceus (disorder),0,1,0,0,1,1
Clinical finding (finding),1647007,Poisoning caused by primaquine (disorder),0,0,0,0,1,1
Clinical finding (finding),1663004,G2 grade (finding),0,1,0,0,0,0
Clinical finding (finding),1724002,Infection caused by Crenosoma (disorder),1,1,0,0,1,1
Clinical finding (finding),1742007,Female hypererotism (finding),0,1,0,0,0,0
Clinical finding (finding),1828006,Infestation caused by Gasterophilus haemorrhoidalis (disorder),0,0,0,0,1,1
Clinical finding (finding),1829003,Microcephalus (disorder),1,1,1,0,0,0
Clinical finding (finding),1837006,Poisoning caused by metaproterenol (disorder),0,0,0,0,1,1
Clinical finding (finding),1848004,Poisoning caused by gaseous anesthetic (disorder),1,1,0,1,1,1
Clinical finding (finding),1852004,Traumatic injury of abducens nerve (disorder),0,1,0,0,0,0
Clinical finding (finding),1857005,Congenital rubella syndrome (disorder),0,1,0,0,0,0
Clinical finding (finding),1858000,Infection caused by Stilezia globipunctata (disorder),0,1,0,0,1,1
Clinical finding (finding),1903004,Infestation caused by Psorergates ovis (disorder),0,0,0,0,1,1
Clinical finding (finding),1943009,Right-left disorientation (finding),0,1,0,0,0,0
Clinical finding (finding),1977004,Poisoning caused by oxymetholone (disorder),0,0,0,0,1,1
Clinical finding (finding),2061000,Conductive hearing loss of combined sites (disorder),0,1,0,0,0,0
Clinical finding (finding),2073000,Delusions (finding),0,1,0,0,0,0
Clinical finding (finding),2087000,Pulmonary nocardiosis (disorder),0,1,0,0,0,0
Clinical finding (finding),2103002,Reflex sympathetic dystrophy of upper extremity (disorder),0,1,0,0,0,0
Clinical finding (finding),2114004,Infection caused by Cysticercus pisiformis (disorder),1,1,0,0,1,1
Clinical finding (finding),2120003,Weak cry (finding),0,1,0,0,0,0
Clinical finding (finding),2121004,Poisoning caused by ethopropazine (disorder),0,0,0,0,1,1
Clinical finding (finding),2145000,Anal penetration (finding),0,1,0,0,0,0
Clinical finding (finding),2158004,Infection caused by Contracaecum (disorder),1,1,0,0,1,1
Clinical finding (finding),2169001,Thoracic radiculitis (disorder),0,1,0,0,0,0
Clinical finding (finding),2177002,Postherpetic neuralgia (disorder),0,1,0,0,0,0
Clinical finding (finding),2268003,Victim of homosexual aggression (finding),0,1,0,0,0,0
Clinical finding (finding),2301009,Psychosomatic factor in physical condition, psychological component of unknown degree (finding),0,1,0,0,0,0
Clinical finding (finding),2314005,Unprotected sexual intercourse (finding),0,1,0,0,0,0
