semtag,id,term,DefStatus
disorder,10625471000119108,Bronchopneumonia due to Proteus mirabilis (disorder),Sufficiently defined
disorder,10625511000119104,Bronchopneumonia due to Pseudomonas (disorder),Sufficiently defined
disorder,10625551000119103,Bronchopneumonia due to respiratory syncytial virus (disorder),Sufficiently defined
disorder,10625591000119108,Bronchopneumonia due to Staphylococcus (disorder),Sufficiently defined
disorder,10625631000119108,Bronchopneumonia due to Staphylococcus aureus (disorder),Sufficiently defined
disorder,10625671000119106,Bronchopneumonia due to Streptococcus (disorder),Sufficiently defined
disorder,10625711000119105,Bronchopneumonia due to Streptococcus pneumoniae (disorder),Sufficiently defined
disorder,10625751000119106,Bronchopneumonia due to virus (disorder),Sufficiently defined
disorder,10625791000119101,Bronchitis due to chemical (disorder),Sufficiently defined
disorder,10625831000119107,Chemical pneumonitis caused by anesthesia (disorder),Sufficiently defined
disorder,10625911000119108,Generalized dermatitis caused by drug taken internally (disorder),Primitive
disorder,10625951000119109,Localized dermatitis caused by drug taken internally (disorder),Primitive
disorder,10628471000119103,Paronychia of thumb (disorder),Sufficiently defined
disorder,10628511000119107,Irritant contact dermatitis caused by detergent (disorder),Sufficiently defined
disorder,10628551000119108,Irritant contact dermatitis caused by rubber (disorder),Sufficiently defined
disorder,10628591000119103,Irritant contact dermatitis caused by chemical (disorder),Sufficiently defined
disorder,10628631000119103,Irritant contact dermatitis caused by metal (disorder),Sufficiently defined
disorder,10628751000119100,Allergic contact dermatitis caused by pollen (disorder),Sufficiently defined
disorder,10628791000119105,Ulcerative impetigo (disorder),Primitive
disorder,10628871000119101,Gastroenteritis due to influenza (disorder),Sufficiently defined
disorder,10628911000119103,Gastroenteritis due to influenza A (disorder),Sufficiently defined
disorder,10628951000119102,Acute lymphadenitis of face (disorder),Sufficiently defined
disorder,10628991000119107,Acute lymphadenitis of head (disorder),Sufficiently defined
disorder,10629031000119100,Acute lymphadenitis of neck (disorder),Sufficiently defined
disorder,10629151000119105,Acute bronchitis caused by coxsackievirus (disorder),Sufficiently defined
disorder,10629191000119100,Bronchiolitis caused by influenza virus (disorder),Sufficiently defined
disorder,10629311000119107,Psoriatic arthritis mutilans (disorder),Primitive
disorder,10629351000119108,Myocarditis due to influenza A (disorder),Sufficiently defined
disorder,10629431000119108,Allergic rhinitis caused by insects (disorder),Sufficiently defined
disorder,10629511000119102,Rhinitis of pregnancy (disorder),Primitive
disorder,10630511000119108,Acute lymphangitis of finger (disorder),Primitive
disorder,10631000119105,Female genital tract infection due to complete miscarriage (disorder),Sufficiently defined
disorder,10631831000119107,Thumb onychia (disorder),Sufficiently defined
disorder,10632311000119102,Pulp abscess of thumb (disorder),Sufficiently defined
disorder,10635431000119108,Chronic ulcer of heel (disorder),Sufficiently defined
disorder,10636231000119104,Chronic ulcer of midfoot (disorder),Sufficiently defined
disorder,10637751000119102,Chronic ulcer of skin of ankle (disorder),Sufficiently defined
disorder,10637791000119107,Necrosis of ankle bone co-occurrent and due to chronic ulcer of ankle (disorder),Sufficiently defined
disorder,10637831000119101,Chronic non-pressure ulcer of ankle extending to fat level (disorder),Primitive
disorder,10637871000119103,Necrosis of ankle muscle co-occurrent and due to chronic ulcer of ankle (disorder),Sufficiently defined
disorder,10640791000119105,Chronic ulcer of skin of calf (disorder),Sufficiently defined
disorder,10640831000119104,Necrosis of calf bone co-occurrent and due to chronic ulcer of calf (disorder),Sufficiently defined
disorder,10640871000119101,Chronic non-pressure ulcer of calf extending to fat level (disorder),Primitive
disorder,10640911000119103,Necrosis of calf muscle co-occurrent and due to chronic ulcer of calf (disorder),Sufficiently defined
disorder,10641391000119104,Chronic ulcer of skin of lower leg (disorder),Sufficiently defined
disorder,10642151000119103,Necrosis of muscle of buttock co-occurrent and due to chronic ulcer of buttock (disorder),Primitive
disorder,10642191000119108,Necrosis of sacral bone co-occurrent and due to chronic ulcer of sacrum (disorder),Sufficiently defined
disorder,10642231000119104,Necrosis of bone of buttock co-occurrent and due to chronic ulcer of buttock (disorder),Sufficiently defined
disorder,10642311000119101,Necrosis of sacral muscle co-occurrent and due to chronic ulcer of sacrum (disorder),Sufficiently defined
disorder,10642351000119100,Chronic skin ulcer of sacrum (disorder),Sufficiently defined
disorder,10642391000119105,Chronic non-pressure ulcer of sacrum extending to fat level (disorder),Primitive
disorder,10656231000119100,Skin ulcer of toe due to diabetes mellitis type 1 (disorder),Sufficiently defined
disorder,10656271000119102,Skin ulcer of toe due to diabetes mellitis type 2 (disorder),Sufficiently defined
disorder,10662511000119101,Ulcer of midfoot (disorder),Primitive
disorder,10666031000119100,Ischemic ulcer of lower leg due to atherosclerotic disease (disorder),Sufficiently defined
disorder,10674711000119105,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis (disorder),Sufficiently defined
disorder,10674871000119105,Pulmonary edema caused by chemical fumes (disorder),Sufficiently defined
disorder,10674911000119108,Otitis media due to influenza A (disorder),Sufficiently defined
disorder,10675431000119106,Severe persistent allergic asthma (disorder),Sufficiently defined
disorder,10675471000119109,Acute severe exacerbation of severe persistent allergic asthma (disorder),Sufficiently defined
disorder,10675551000119104,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10675591000119109,Severe persistent allergic asthma controlled (finding),Primitive
disorder,10675631000119109,Severe persistent asthma controlled co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10675671000119107,Severe persistent allergic asthma uncontrolled (finding),Primitive
disorder,10675711000119106,Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),Sufficiently defined
disorder,10675871000119106,Mild persistent allergic asthma (disorder),Sufficiently defined
disorder,10675911000119109,Acute severe exacerbation of mild persistent allergic asthma (disorder),Sufficiently defined
disorder,10675991000119100,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676031000119106,Mild persistent allergic asthma controlled (finding),Primitive
finding,10676071000119109,Mild persistent asthma controlled (finding),Primitive
disorder,10676111000119102,Mild persistent asthma controlled co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676151000119101,Mild persistent allergic asthma uncontrolled (finding),Primitive
finding,10676191000119106,Mild persistent asthma uncontrolled (finding),Primitive
disorder,10676231000119102,Mild persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676351000119103,Moderate persistent asthma controlled (finding),Primitive
disorder,10676391000119108,Moderate persistent allergic asthma (disorder),Sufficiently defined
disorder,10676431000119103,Acute severe exacerbation of moderate persistent allergic asthma (disorder),Sufficiently defined
disorder,10676511000119109,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676551000119105,Moderate persistent allergic asthma controlled (finding),Primitive
disorder,10676591000119100,Moderate persistent controlled asthma co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676631000119100,Moderate persistent allergic asthma uncontrolled (finding),Primitive
disorder,10676671000119102,Moderate persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder),Sufficiently defined
finding,10676711000119103,Moderate persistent asthma uncontrolled (finding),Primitive
disorder,10676871000119103,Allergic contact dermatitis caused by chemical (disorder),Sufficiently defined
disorder,10677511000119107,Infection of toenail (disorder),Sufficiently defined
disorder,10677711000119101,Encephalopathy due to influenza A (disorder),Sufficiently defined
finding,10677951000119102,Localized swelling of forearm (finding),Primitive
disorder,10678071000119108,Necrosis of back bone co-occurrent and due to chronic ulcer of back (disorder),Sufficiently defined
disorder,10678111000119101,Ulcer of back (disorder),Sufficiently defined
finding,10679431000119109,Localized swelling of back (finding),Primitive
finding,10679591000119107,Localized swelling of chest wall (finding),Primitive
situation,106821000119101,History of oligodendroglioma of brain (situation),Sufficiently defined
finding,10683351000119102,Mass of subcutaneous tissue (finding),Sufficiently defined
disorder,10685111000119102,Upper respiratory tract infection due to Influenza (disorder),Sufficiently defined
disorder,10688091000119100,Postprocedural pulmonary air leak (disorder),Sufficiently defined
situation,10691841000119107,History of central serous retinopathy (situation),Sufficiently defined
disorder,10692681000119108,Disorder of respiratory system exacerbated by aspirin (disorder),Primitive
disorder,10692721000119102,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma (disorder),Primitive
disorder,10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),Primitive
finding,10692801000119104,Excess skin of arm (finding),Primitive
finding,10692841000119102,Excess skin of thigh (finding),Primitive
disorder,10750641000119101,Cardiac arrest due to failed attempted abortion (disorder),Sufficiently defined
disorder,10751311000119100,Salpingitis due to ectopic pregnancy (disorder),Sufficiently defined
disorder,10751351000119104,Sepsis due to ectopic pregnancy (disorder),Sufficiently defined
disorder,10751391000119109,Shock due to ectopic pregnancy (disorder),Sufficiently defined
disorder,10751431000119104,Urinary tract infection due to ectopic pregnancy (disorder),Sufficiently defined
finding,10751631000119101,Obstructed labor due to abnormality of maternal pelvis (finding),Primitive
disorder,10751771000119107,Placental abruption due to afibrinogenemia (disorder),Sufficiently defined
disorder,10760181000119109,Cardiac arrest due to miscarriage (disorder),Sufficiently defined
situation,107921000119107,History of immune disorder (situation),Sufficiently defined
disorder,10811961000119109,Cardiac arrest due to incomplete miscarriage (disorder),Sufficiently defined
disorder,10812041000119103,Urinary tract infection due to incomplete miscarriage (disorder),Sufficiently defined
disorder,1082511000119102,Hepatic coma due to acute hepatic failure (disorder),Sufficiently defined
disorder,1082561000119104,Recurrent acute suppurative otitis media with spontaneous rupture of ear drum (disorder),Primitive
disorder,1082601000119104,Ascites due to alcoholic cirrhosis (disorder),Sufficiently defined
disorder,1082611000119101,Ascites due to alcoholic hepatitis (disorder),Sufficiently defined
disorder,1082621000119108,Hepatic coma due to alcoholic liver failure (disorder),Sufficiently defined
disorder,1082631000119106,Gastric hemorrhage due to allergic gastritis (disorder),Sufficiently defined
disorder,1082671000119109,Hemorrhage of anastomosis due to ulcer (disorder),Sufficiently defined
disorder,1082701000119105,Duodenal hemorrhage due to angiodysplasia of duodenum (disorder),Sufficiently defined
disorder,1082711000119108,Gastric hemorrhage due to angiodysplasia of stomach (disorder),Sufficiently defined
disorder,1082751000119109,Barretts esophagus with dysplasia (disorder),Primitive
disorder,1082761000119106,Barretts esophagus with high grade dysplasia (disorder),Primitive
disorder,1082771000119100,Barretts esophagus with low grade dysplasia (disorder),Primitive
situation,108281000119102,History of congenital hypospadias (situation),Primitive
disorder,1083751000119104,Intestinal obstruction due to bilateral femoral hernia (disorder),Primitive
disorder,1084511000119108,Intestinal obstruction due to recurrent irreducible inguinal hernia (disorder),Primitive
disorder,1084521000119101,Intestinal obstruction due to bilateral recurrent irreducible inguinal hernia (disorder),Sufficiently defined
disorder,1084791000119106,Cardiac disorder due to typhoid fever (disorder),Sufficiently defined
disorder,1084831000119100,Acute cholangitis due to bile duct calculus (disorder),Sufficiently defined
disorder,1084841000119109,Acute cholangitis due to bile duct calculus with obstruction (disorder),Sufficiently defined
disorder,1084891000119101,Cholangitis due to bile duct calculus with obstruction (disorder),Sufficiently defined
disorder,1084901000119102,Chronic cholangitis due to bile duct calculus (disorder),Sufficiently defined
disorder,1084911000119104,Chronic cholangitis due to bile duct calculus with obstruction (disorder),Sufficiently defined
disorder,1084931000119109,Chronic cholecystitis due to cholelithiasis co-occurrent with choledocholithiasis (disorder),Sufficiently defined
disorder,1084971000119107,Chronic cholecystitis due to gallbladder calculus with obstruction (disorder),Sufficiently defined
disorder,1085021000119106,Hepatic ascites due to chronic alcoholic hepatitis (disorder),Sufficiently defined
disorder,1085091000119108,Hepatic coma due to chronic hepatic failure (disorder),Sufficiently defined
disorder,1085121000119107,Gastric hemorrhage due to chronic superficial gastritis (disorder),Sufficiently defined
disorder,1085131000119105,Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis (disorder),Sufficiently defined
disorder,1085141000119101,Complication due to chronic ulcerative pancolitis (disorder),Sufficiently defined
disorder,1085151000119104,Fistula of intestine due to chronic ulcerative pancolitis (disorder),Sufficiently defined
disorder,1085161000119102,Intestinal obstruction due to chronic ulcerative pancolitis (disorder),Sufficiently defined
disorder,1085171000119108,Rectal hemorrhage due to chronic ulcerative pancolitis (disorder),Sufficiently defined
disorder,1085181000119106,Abscess of intestine co-occurrent and due to chronic ulcerative proctitis (disorder),Sufficiently defined
disorder,1085191000119109,Complication due to chronic ulcerative proctitis (disorder),Sufficiently defined
disorder,1085201000119107,Fistula of intestine due to chronic ulcerative proctitis (disorder),Sufficiently defined
situation,108521000119103,History of reticulosarcoma (situation),Sufficiently defined
disorder,1085211000119105,Intestinal obstruction due to chronic ulcerative proctitis (disorder),Sufficiently defined
disorder,1085221000119103,Rectal hemorrhage due to chronic ulcerative proctitis (disorder),Sufficiently defined
disorder,1085231000119100,Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis (disorder),Sufficiently defined
disorder,1085241000119109,Complication due to chronic ulcerative rectosigmoiditis (disorder),Sufficiently defined
disorder,1085251000119106,Fistula of large intestine due to chronic ulcerative rectosigmoiditis (disorder),Sufficiently defined
disorder,1085261000119108,Intestinal obstruction due to chronic ulcerative rectosigmoiditis (disorder),Sufficiently defined
disorder,1085271000119102,Rectal hemorrhage due to chronic ulcerative rectosigmoiditis (disorder),Sufficiently defined
disorder,1085291000119101,Uranostaphyloschisis with cleft lip (disorder),Primitive
disorder,1085301000119100,Cleft of hard palate and cleft lip (disorder),Sufficiently defined
disorder,1085331000119107,Cleft palate and bilateral cleft lip (disorder),Primitive
disorder,1085341000119103,Cleft of soft palate and bilateral cleft lip (disorder),Sufficiently defined
disorder,1085351000119101,Cleft of soft palate and cleft lip (disorder),Sufficiently defined
disorder,1085361000119104,Meningitis due to Cytomegaloviral Mononucleosis (disorder),Sufficiently defined
disorder,1085371000119105,Polyneuropathy due to cytomegaloviral mononucleosis (disorder),Sufficiently defined
disorder,1085391000119106,Abscess of intestine co-occurrent and due to colonic inflammatory polyps (disorder),Sufficiently defined
disorder,1085401000119108,Complication due to colonic inflammatory polyps (disorder),Sufficiently defined
disorder,1085411000119106,Fistula of intestine due to inflammatory polyps of colon (disorder),Sufficiently defined
disorder,1085421000119104,Intestinal obstruction due to colonic inflammatory polyps (disorder),Sufficiently defined
disorder,1085431000119101,Rectal hemorrhage due to inflammatory polyps of colon (disorder),Sufficiently defined
disorder,1085481000119100,Complete edentulism due to caries (disorder),Sufficiently defined
disorder,1085491000119102,Complete edentulism class I due to caries (disorder),Sufficiently defined
disorder,1085501000119109,Complete edentulism class II due to caries (disorder),Sufficiently defined
disorder,1085511000119107,Complete edentulism class III due to caries (disorder),Sufficiently defined
disorder,1085521000119100,Complete edentulism class IV due to caries (disorder),Sufficiently defined
disorder,1085531000119102,Complete edentulism due to periodontal disease (disorder),Sufficiently defined
disorder,1085541000119106,Complete edentulism class I due to periodontal disease (disorder),Sufficiently defined
disorder,1085551000119108,Complete edentulism class II due to periodontal disease (disorder),Sufficiently defined
disorder,1085561000119105,Complete edentulism class III due to periodontal disease (disorder),Sufficiently defined
disorder,1085571000119104,Complete edentulism class IV due to periodontal disease (disorder),Sufficiently defined
disorder,1085581000119101,Complete edentulism due to trauma (disorder),Sufficiently defined
disorder,1085591000119103,Complete edentulism class I due to trauma (disorder),Sufficiently defined
disorder,1085601000119105,Complete edentulism class II due to trauma (disorder),Sufficiently defined
disorder,1085611000119108,Complete edentulism class III due to trauma (disorder),Sufficiently defined
disorder,1085621000119101,Complete edentulism class IV due to trauma (disorder),Sufficiently defined
disorder,1085751000119100,Abscess of intestine co-occurrent and due to Crohn's disease of large intestine (disorder),Sufficiently defined
disorder,1085761000119103,Complication due to Crohn's disease of large intestine (disorder),Sufficiently defined
disorder,1085771000119109,Fistula of large intestine due to Crohn's disease (disorder),Sufficiently defined
disorder,1085781000119107,Intestinal obstruction due to Crohn's disease of large intestine (disorder),Sufficiently defined
disorder,1085791000119105,Rectal hemorrhage due to Crohn's disease of large intestine (disorder),Sufficiently defined
disorder,1085801000119106,Abscess of intestine co-occurrent and due to Crohn's disease of small and large intestine (disorder),Sufficiently defined
disorder,1085811000119109,Complication due to Crohn's disease of small and large intestines (disorder),Sufficiently defined
disorder,1085821000119102,Fistula of intestine due to Crohn's disease of small and large intestine (disorder),Sufficiently defined
disorder,1085831000119104,Intestinal obstruction due to Crohn's disease of small and large intestine (disorder),Sufficiently defined
disorder,1085841000119108,Rectal hemorrhage due to Crohn's disease of small and large intestines (disorder),Sufficiently defined
disorder,1085851000119105,Abscess of intestine co-occurrent and due to Crohn's disease of small intestine (disorder),Sufficiently defined
disorder,1085861000119107,Complication due to Crohn's disease of small intestine (disorder),Sufficiently defined
disorder,1085871000119101,Fistula of small intestine due to Crohn's disease (disorder),Sufficiently defined
disorder,1085881000119103,Intestinal obstruction due to Crohn's disease of small intestine (disorder),Sufficiently defined
disorder,1085891000119100,Rectal hemorrhage due to Crohn's disease of small intestine (disorder),Sufficiently defined
disorder,1085901000119101,Abscess of intestine co-occurrent and due to Crohn's disease (disorder),Sufficiently defined
disorder,1085911000119103,Complication due to Crohn's disease (disorder),Sufficiently defined
disorder,1085931000119108,Intestinal obstruction due to Crohn's disease (disorder),Sufficiently defined
disorder,1085941000119104,Rectal hemorrhage due to Crohn's disease (disorder),Sufficiently defined
disorder,1086031000119101,Duodenal hemorrhage due to Dieulafoy vascular malformation of duodenum (disorder),Sufficiently defined
disorder,1086041000119105,Gastric hemorrhage due to Dieulafoy lesion of stomach (disorder),Sufficiently defined
disorder,1086051000119107,Cardiomyopathy due to diphtheria infection (disorder),Sufficiently defined
disorder,1086151000119106,Perforation of cecum due to diverticulitis (disorder),Sufficiently defined
disorder,1086231000119105,Perforation of duodenum due to diverticulitis (disorder),Sufficiently defined
disorder,1086281000119106,Perforation of ileum due to diverticulitis (disorder),Sufficiently defined
disorder,1086291000119109,Abscess of jejunum co-occurrent and due to diverticulitis (disorder),Sufficiently defined
situation,108631000119101,History of autologous bone marrow transplant (situation),Sufficiently defined
disorder,1086341000119107,Abscess of sigmoid colon co-occurrent and due to diverticulitis (disorder),Sufficiently defined
disorder,1086381000119102,Perforation of sigmoid colon due to diverticulitis (disorder),Sufficiently defined
disorder,1086441000119100,Perforation of large and small intestine due to diverticulitis (disorder),Sufficiently defined
disorder,1086461000119101,Hemorrhage of small intestine due to diverticulitis (disorder),Sufficiently defined
disorder,1086481000119105,Perforation of small intestine co-occurrent with hemorrhage due to diverticulitis (disorder),Sufficiently defined
disorder,1086491000119108,Perforation of small intestine due to diverticulitis (disorder),Sufficiently defined
disorder,1086551000119102,Hemorrhage of cecum due to diverticulosis (disorder),Sufficiently defined
disorder,1086561000119100,Hemorrhage of duodenum co-occurrent and due to diverticulosis (disorder),Sufficiently defined
disorder,1086571000119106,Hemorrhage of ileum co-occurrent and due to diverticulosis (disorder),Sufficiently defined
disorder,1086581000119109,Hemorrhage of jejunum co-occurrent and due to diverticulosis (disorder),Sufficiently defined
disorder,1086601000119100,Intestinal hemorrhage co-occurrent and due to diverticulosis (disorder),Sufficiently defined
finding,1086891000119105,Fractured dental restorative material with loss of material (finding),Primitive
disorder,1086951000119108,Gastric hemorrhage due to vascular ectasia of gastric antrum (disorder),Sufficiently defined
disorder,1087011000119108,Infection of lower genitourinary tract co-occurrent with abscess of periurethral gland caused by Gonococcus (disorder),Sufficiently defined
disorder,1087081000119102,Gastric hemorrhage due to Helicobacter pylori (disorder),Sufficiently defined
disorder,1087161000119105,Gastric hemorrhage due to hypertrophic gastritis (disorder),Sufficiently defined
disorder,1087811000119103,Gastric hemorrhage due to irritant gastritis (disorder),Sufficiently defined
situation,108801000119109,Family history of blood coagulation disorder (situation),Sufficiently defined
disorder,108871000119104,Infection due to Lactococcus (disorder),Sufficiently defined
situation,108891000119103,Family history of antithrombin III deficiency (situation),Sufficiently defined
situation,108941000119102,History of cervical conization (situation),Sufficiently defined
disorder,1089781000119109,Meningitis due to Chagas disease (disorder),Sufficiently defined
disorder,1089791000119107,Meningitis due to infectious mononucleosis (disorder),Sufficiently defined
situation,108981000119107,Family history of protein S deficiency (situation),Sufficiently defined
disorder,1089811000119106,Meningoencephalitis due to Acanthamoeba (disorder),Sufficiently defined
disorder,1089821000119104,Meningoencephalitis due to Chagas disease (disorder),Sufficiently defined
disorder,1089931000119105,Myocarditis due to scarlet fever (disorder),Sufficiently defined
disorder,1089991000119109,Oral ulcerative mucositis due to antineoplastic therapy (disorder),Sufficiently defined
disorder,1090001000119105,Otitis media due to scarlet fever (disorder),Sufficiently defined
situation,109001000119105,Family history of protein C deficiency (situation),Sufficiently defined
disorder,1090051000119109,Partial edentulism due to caries (disorder),Sufficiently defined
disorder,1090061000119106,Partial edentulism class I due to caries (disorder),Sufficiently defined
disorder,1090071000119100,Partial edentulism class II due to caries (disorder),Sufficiently defined
disorder,1090081000119102,Partial edentulism class III due to caries (disorder),Sufficiently defined
disorder,1090091000119104,Partial edentulism class IV due to caries (disorder),Sufficiently defined
disorder,1090101000119109,Partial edentulism due to periodontal disease (disorder),Sufficiently defined
disorder,1090111000119107,Partial edentulism class I due to periodontal disease (disorder),Sufficiently defined
disorder,1090121000119100,Partial edentulism class II due to periodontal disease (disorder),Sufficiently defined
disorder,1090131000119102,Partial edentulism class III due to periodontal disease (disorder),Sufficiently defined
disorder,1090141000119106,Partial edentulism class IV due to periodontal disease (disorder),Sufficiently defined
disorder,1090151000119108,Partial edentulism due to trauma (disorder),Sufficiently defined
disorder,1090161000119105,Partial edentulism class I due to trauma (disorder),Sufficiently defined
disorder,1090171000119104,Partial edentulism class II due to trauma (disorder),Sufficiently defined
disorder,1090181000119101,Partial edentulism class III due to trauma (disorder),Sufficiently defined
disorder,1090191000119103,Partial edentulism class IV due to trauma (disorder),Sufficiently defined
disorder,1090231000119107,Polyneuropathy due to infectious mononucleosis (disorder),Sufficiently defined
disorder,1090361000119108,Gastric hemorrhage due to pyloric gastritis (disorder),Primitive
disorder,10910001000004108,Abscess of calf (disorder),Sufficiently defined
situation,109241000119103,Family history of eruptive xanthoma (situation),Sufficiently defined
disorder,1092471000119105,Septic shock co-occurrent with acute organ dysfunction due to Chromobacterium (disorder),Sufficiently defined
disorder,1092481000119108,Septic shock co-occurrent with acute organ dysfunction due to coagulase-negative Staphylococcus (disorder),Sufficiently defined
disorder,1092491000119106,Septic shock co-occurrent with acute organ dysfunction due to Enterococcus (disorder),Sufficiently defined
disorder,1092501000119104,Septic shock co-occurrent with acute organ dysfunction due to Gonococcus (disorder),Sufficiently defined
disorder,1092511000119101,Septic shock co-occurrent with acute organ dysfunction due to Gram-positive coccus (disorder),Sufficiently defined
disorder,1092531000119106,Septic shock co-occurrent with acute organ dysfunction due to Group A streptococcus (disorder),Sufficiently defined
disorder,1092541000119102,Septic shock co-occurrent with acute organ dysfunction due to Group B streptococcus (disorder),Sufficiently defined
disorder,1092571000119109,Severe sepsis with acute organ dysfunction due to Chromobacterium (disorder),Primitive
disorder,1092581000119107,Severe sepsis with acute organ dysfunction due to coagulase negative Staphylococcus (disorder),Primitive
disorder,1092591000119105,Severe sepsis with acute organ dysfunction due to Enterococcus (disorder),Primitive
disorder,1092611000119100,Severe sepsis with acute organ dysfunction due to Gram-positive bacteria (disorder),Primitive
disorder,1092631000119105,Severe sepsis with acute organ dysfunction due to Group A streptococcus (disorder),Primitive
disorder,1092641000119101,Severe sepsis with acute organ dysfunction due to Group B streptococcus (disorder),Primitive
disorder,1092691000119109,Hepatic coma due to subacute liver failure (disorder),Sufficiently defined
disorder,1092761000119105,Iridocyclitis due to tuberculosis (disorder),Sufficiently defined
disorder,1092801000119102,Hepatic ascites co-occurrent with chronic active hepatitis due to toxic liver disease (disorder),Sufficiently defined
disorder,1092841000119100,Abscess of intestine co-occurrent and due to ulcerative colitis (disorder),Sufficiently defined
disorder,1092851000119103,Complication due to ulcerative colitis (disorder),Sufficiently defined
disorder,1092861000119101,Fistula of intestine due to ulcerative colitis (disorder),Sufficiently defined
disorder,1092871000119107,Intestinal obstruction due to ulcerative colitis (disorder),Sufficiently defined
disorder,1092881000119105,Rectal hemorrhage due to ulcerative colitis (disorder),Sufficiently defined
disorder,1092941000119109,Gastric hemorrhage due to viral gastritis (disorder),Sufficiently defined
disorder,1092951000119106,Pneumonia due to Bordetella parapertussis (disorder),Sufficiently defined
situation,10939931000119100,History of malignant neoplasm of lip (situation),Sufficiently defined
disorder,109441000119102,Central centrifugal cicatricial alopecia (disorder),Primitive
situation,10978131000119107,History of vaginoplasty (situation),Sufficiently defined
situation,10979621000119105,History of removal of ventricular shunt (situation),Sufficiently defined
situation,10981871000119102,History of malignant neoplasm of middle ear (situation),Sufficiently defined
situation,10981911000119104,History of malignant neoplasm of nasal cavity (situation),Sufficiently defined
situation,10982181000119101,History of neoplasm of uncertain behavior (situation),Sufficiently defined
situation,10982491000119105,History of closure of nephrostomy (situation),Sufficiently defined
finding,10987541000119104,History of military deployment (finding),Primitive
situation,10987871000119109,History of malignant neoplasm of rectosigmoid junction (situation),Sufficiently defined
situation,10987961000119105,History of malignant carcinoid tumor of stomach (situation),Sufficiently defined
